OGDomain,SupportingDomain,IPAddr,City,State,Country
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 142.251.65.94, Location: Linden, New Jersey, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 192.178.106.20, Location: Newark, New Jersey, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 142.251.69.170, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 142.251.69.166, Location: Woodbridge, New Jersey, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 192.178.107.43, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 142.251.60.181, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com26, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
